county,state,year,fat_amount
Sebastian,AR,2000,438
Montgomery,AL,2000,438
Nueces,TX,2000,438
Dauphin,PA,2000,436
Collier,FL,2000,436
St. Louis,MN,2000,434
Washington,AR,2000,434
Butte,CA,2000,434
Deschutes,OR,2000,432
Barnstable,MA,2000,430
Madison,IL,2000,430
Clark,OH,2000,428
Ector,TX,2000,428
Columbiana,OH,2000,426
Morgan,AL,2000,424
New London,CT,2000,422
Wood,OH,2000,422
Geauga,OH,2000,422
Smith,TX,2000,420
Escambia,FL,2000,420
Beaver,PA,2000,420
Kenosha,WI,2000,418
Ulster,NY,2000,418
New Hanover,NC,2000,412
Lebanon,PA,2000,410
Grand Traverse,MI,2000,408
Lycoming,PA,2000,408
Chesterfield,VA,2000,408
Richland,OH,2000,408
Dutchess,NY,2000,406
Weld,CO,2000,406
Gregg,TX,2000,404
Calhoun,MI,2000,404
Warren,OH,2000,402
Dekalb,AL,2000,400
Windham,CT,2000,398
Scott,IA,2000,398
Jasper,MO,2000,396
Clermont,OH,2000,396
Berkshire,MA,2000,396
Mercer,PA,2000,394
Hamilton,IN,2000,394
Pasco,FL,2000,392
Durham,NC,2000,384
Chatham,GA,2000,382
Cumberland,NJ,2000,382
Carson City,NV,2000,380
Hunterdon,NJ,2000,380
Sumner,TN,2000,380
Rutherford,TN,2000,378
Rowan,NC,2000,378
Frederick,MD,2000,378
Kosciusko,IN,2000,376
Anderson,SC,2000,374
Hinds,MS,2000,372
Lawrence,PA,2000,372
Cass,ND,2000,370
Humboldt,CA,2000,370
Manitowoc,WI,2000,370
Rock Island,IL,2000,370
Canyon,ID,2000,366
Laporte,IN,2000,364
St. Clair,IL,2000,364
Wright,MN,2000,364
Anchorage Municipality,AK,2000,364
Yolo,CA,2000,362
Norfolk City,VA,2000,358
Santa Fe,NM,2000,356
Hampshire,MA,2000,356
Ashtabula,OH,2000,356
Yavapai,AZ,2000,356
Peoria,IL,2000,354
Richmond City,VA,2000,354
El Dorado,CA,2000,354
Franklin,PA,2000,354
District Of Columbia,DC,2000,352
Skagit,WA,2000,348
Horry,SC,2000,346
Cheshire,NH,2000,346
Linn,OR,2000,344
Holmes,OH,2000,344
Sullivan,TN,2000,342
Delaware,IN,2000,342
Benton,AR,2000,340
Ontario,NY,2000,340
St. Joseph,MI,2000,340
Shasta,CA,2000,338
Dodge,WI,2000,338
Minnehaha,SD,2000,336
Androscoggin,ME,2000,336
Nevada,CA,2000,336
Galveston,TX,2000,336
Gallatin,MT,2000,336
Yamhill,OR,2000,332
Cleveland,NC,2000,332
Richmond,NY,2000,332
