County,State,year,Factory_num,Unnamed: 0,avg(NO2 Mean),avg(O3 Mean),avg(SO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_tenyears,SO2_tenyears,O3_tenyears,Autos,Motorcycles,Trailers,Trucks,Total Vehicles
Los Angeles,California,2012,63830,61,21.169009149183932,0.0217190167832169,0.5202906629370633,9953555,4752.32,58614,41074,5320,21269,14485,26589,588.8750300771935,412.65658350207536,53.44824035231633,213.68244813034136,145.52589501941767,267.1306884826577,2094.4622836846006,24.428701752522997,1.6388113731573963,0.0223613356460165,5904847,154108,283416,1079883,7422254
Orange,California,2012,23605,22,9.54613346686749,0.0279154457831325,0.0704692409638555,3084935,947.91,18178,12490,1647,6205,4638,7852,589.2506649248687,404.8707671312362,53.38848306366261,201.13875981179504,150.34352425577848,254.5272428754577,3254.4598115854883,14.063964875999964,1.060274488534109,0.0288722073090378,1982791,61161,110758,384954,2539664
San Diego,California,2012,14490,72,12.28925044195807,0.0271500573426572,0.148587377622377,3181513,4525.92,19952,13003,1696,6218,5089,7914,627.1230071981475,408.70491492569727,53.30797013873588,195.44160278458708,159.95534200237435,248.7495729233229,702.9538745713578,18.592144909462327,2.7056675617704378,0.0266674977530846,1971635,81178,164359,455292,2672464
Santa Clara,California,2012,11735,70,10.868746103305735,0.0218200523415978,0.6484455440771341,1838988,1304.53,9314,6079,815,2859,2405,3674,506.4742129910581,330.56224401681794,44.3178530800636,155.4659410501863,130.77844988656804,199.78379413025,1409.693912750186,12.996627619843006,0.446141311184309,0.0197107297944692,1237223,38539,60753,192836,1529351
Alameda,California,2012,9265,66,14.879765326760568,0.0192695126760563,0.7067528267605617,1555542,821.26,9337,6167,856,2941,2370,3797,600.2409449568061,396.4534548086776,55.02905096744415,189.0659332888472,152.35847055238622,244.09498425629133,1894.092004967976,16.25138789260915,1.3010417615582337,0.0174216559599433,974615,31583,56595,175467,1238260
San Bernardino,California,2012,8995,64,17.870175726198678,0.0329341028492007,0.7724560013898535,2077247,20106.39,12339,8239,1240,4107,2892,5347,594.0073568526035,396.6307328882892,59.69439358920726,197.71360844425337,139.2227308548285,257.4080020334606,103.31277767913583,19.63637187341572,0.927803951096306,0.0310571180619642,1096412,42829,157683,332313,1629237
Riverside,California,2012,7300,57,15.974102227757998,0.0274926476868328,0.210976398576513,2264919,7303.81,14694,10050,1371,5117,3562,6488,648.7649227190907,443.7244775640983,60.531966043818784,225.9241941985564,157.2683173217232,286.4561602423751,310.10102946270507,19.36189994904517,1.5783735910469825,0.0282017413738327,1184178,45490,147257,347862,1724787
Sacramento,California,2012,3780,69,8.008199072268898,0.0286593865546218,0.5033680033613441,1447236,995.65,10370,6760,993,3271,2496,4264,716.53828401173,467.0972806093823,68.61355024336044,226.0170421410192,172.46668822500268,294.6305923843796,1453.5589815698288,11.814801940457665,0.5851003786534996,0.0253158368975497,814459,32597,95266,199890,1142212
Fresno,California,2012,2970,44,12.26515447761191,0.0331231028192372,0.6447199278606975,946844,6017.89,6201,3932,562,2119,1251,2681,654.9125304696445,415.2743218523854,59.35507855570717,223.79610579989944,132.12313749677878,283.15118435560663,157.33820325728786,13.709359372900757,1.0296788999538171,0.0314241363964263,444768,18755,86860,168499,718882
Contra Costa,California,2012,2720,45,8.08348778082195,0.0252503771689498,0.9622410990867596,1078242,802.18,7152,4682,690,2152,1840,2842,663.3019303644265,434.2253408789493,63.99305536233982,199.58413788370328,170.64814763290616,263.57719324604307,1344.139719265003,10.083194670909949,1.432749770734647,0.0236348062128576,697279,25744,56886,139494,919403
Santa Barbara,California,2012,2265,6,1.856471474121982,0.0347610009242142,1.1304053137707897,430638,3789.56,2847,1946,247,1003,696,1250,661.1121173700416,451.8876643491749,57.356759041236494,232.91024015530448,161.62066515263402,290.2669991965409,113.63799491233812,3.8760395846848255,0.4834704549685467,0.0336118815403894,248404,12362,30258,75633,366657
Solano,California,2012,1305,5,9.142772303278694,0.0234654863387978,0.6419857814207641,419881,906.85,2754,1752,276,729,747,1005,655.9001240827758,417.26108111584,65.7329100387967,173.6206210807348,177.9075499963085,239.35353111953148,463.0104206869934,10.597058019664406,1.0163577859038828,0.0223800371230078,253989,12450,33254,68276,367969
Humboldt,California,2012,670,30,1.668079993793631,0.0248386470131886,-0.1407108700543057,134663,4052.52,1140,721,135,373,213,508,846.5577033038029,535.4106176158261,100.25025433860824,276.98773976519163,158.17262351202632,377.2379941037999,33.22944735621292,3.4148055577737755,0.4198740069476626,0.0212489216060943,74795,4961,24939,39887,144582
Imperial,California,2012,250,21,13.98044998466259,0.0272427791411043,0.4642419156441704,177287,4482.08,789,556,72,343,141,415,445.0410915633972,313.6157755503788,40.61211481947351,193.47160254276963,79.53205818813562,234.0837173622432,39.55462642344626,13.959625033486194,0.4608384628546739,0.02526432653093,97561,2569,20069,40001,160200
Los Angeles,California,2013,62290,37,18.76484220733789,0.0250314633105802,0.4263443740045495,10015436,4752.32,59829,41535,5797,21525,14213,27322,597.3679029050758,414.709853869567,57.88065542029323,214.9182521859258,141.9109462633479,272.7989076062191,2107.483502794425,23.48722087517168,1.4662585245281146,0.0222987632470351,6079057,158402,291933,1080125,7609517
Orange,California,2013,23190,36,12.06329433873585,0.0289466320907618,0.2222270340356561,3112576,947.91,18745,12889,1834,6441,4614,8275,602.2342908253486,414.09430645227616,58.92225603487272,206.9347061726364,148.23734424476706,265.8569622075091,3283.6197529301307,13.25297358668109,0.9124964523632654,0.028785952027998,2050972,63105,113885,389358,2617320
San Diego,California,2013,14295,53,12.088949255813947,0.0268621773255814,0.1274259680232552,3218419,4525.92,20517,13439,1781,6511,5147,8292,637.4869151592754,417.56527040139895,55.337729487677024,202.30429909840825,159.92324181531367,257.64202858608525,711.1082387669247,17.797110832269258,2.3628281335604533,0.0266769583021652,2040780,85072,170322,456571,2752745
Santa Clara,California,2013,11465,58,12.242864053645157,0.020740484181568,0.3404481189821177,1866961,1304.53,9398,6141,806,2917,2418,3723,503.3849127003724,328.93027760087114,43.1717641664716,156.24322093498472,129.51529249941484,199.41498510145632,1431.136884548458,12.46465724070869,0.4967173694075153,0.0202380604312513,1278949,40026,62987,194011,1575973
