Year,County_Name,State,Population,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate
1999,Camden,NJ,509410,4569,3332,425,1739,1168,2164,896.9199662354488,654.0900257160245,83.42985021888066,341.375316542667,229.28485895447673,424.8051667615477
1999,Cass,ND,121921,592,477,60,275,142,335,485.5603218477539,391.2369485158422,49.21219478186695,225.5558927502235,116.46886098375178,274.7680875320904
1999,Charleston,SC,309247,2420,1724,225,912,587,1137,782.5459907452619,557.4831768780296,72.75737517259667,294.90989403292514,189.81590767250773,367.6672692055218
1999,Cherokee,OK,41937,254,204,29,136,39,165,605.670410377471,486.44395164174836,69.15134606671913,324.29596776116557,92.99663781386366,393.44731382788467
1999,Clark,NV,1321254,10082,7125,1020,3668,2437,4688,763.0629689673598,539.2604298643562,77.19938785426572,277.6150535778889,184.44598843220152,354.8144414321546
1999,Contra Costa,CA,936983,6492,4817,531,2680,1606,3211,692.8620903474236,514.0968406043653,56.67125230660535,286.0243995888933,171.40118870886664,342.69565189549866
1999,Cook,IL,5365344,47655,34297,4165,19031,11101,23196,888.2002719676502,639.2320790614731,77.62782777767838,354.7023266355335,206.90192464826114,432.330154413212
1999,Cumberland,ME,263931,2198,1629,260,811,558,1071,832.7934194922157,617.2067699512372,98.51059557232762,307.2772808044527,211.41889357445694,405.78787637678033
1999,Cuyahoga,OH,1399752,14915,11190,1092,6399,3699,7491,1065.5458967017014,799.4273271265196,78.01381959089895,457.1524098554602,264.2610976801605,535.1662294463591
1999,Dallas,TX,2197658,13453,9454,1139,5212,3103,6351,612.1516632706272,430.18522445257634,51.82790042854711,237.16156016996277,141.19576385406648,288.9894605985099
1999,Dauphin,PA,251329,2402,1853,249,1058,546,1307,955.7193956924988,737.2806162440467,99.07332619793179,420.96216513016805,217.24512491594683,520.0354913280999
1999,Daviess,KY,91325,686,556,67,328,161,395,751.163427320011,608.8146728716124,73.36435806186695,359.15685737749794,176.29345743224746,432.5212154393649
1999,DeKalb,GA,656625,3802,2468,299,1296,873,1595,579.0215115172283,375.8614125261755,45.53588425661527,197.37292975442605,132.9525985151342,242.9088140110413
1999,Denver,CO,548848,4590,3037,549,1557,931,2106,836.2971168702446,553.3408156720986,100.02769437075474,283.68510042853393,169.62802087280997,383.7127947992887
1999,Duchesne,UT,14395,11,0,0,0,0,0,76.41542202153525,0.0,0.0,0.0,0.0,0.0
1999,East Baton Rouge,LA,412110,3117,2198,197,1313,688,1510,756.3514595617676,533.3527456261678,47.80277110480211,318.6042561452039,166.94571837616172,366.407027250006
1999,El Paso,TX,675397,3825,2521,372,1294,855,1666,566.3335786211666,373.26194815789825,55.07871666590168,191.5910198002064,126.59221169179017,246.66973646610808
1999,Erie,PA,281294,2647,2024,259,1139,626,1398,941.0083400285821,719.5318776795808,92.07448434733766,404.9144311645467,222.54296216769643,496.9889155118844
1999,Essex,NJ,789678,7213,4764,544,2613,1607,3157,913.4102760872154,603.2838701344092,68.88883823533136,330.8943645384574,203.5006673606204,399.7832027737888
