,State,County,year,avg(NO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_fiveyears
7,Pennsylvania,Erie,2009,7.2588659385749486,279838,1558.49,2522,1706,280,869,557,1149,901.2357149493636,609.638433665192,100.05789063672552,310.536810583266,199.0437324452004,410.5947012199916,179.55713543237366,10.031793305374798
8,California,Santa Barbara,2009,2.887125980590718,420356,3789.56,2703,1898,281,970,647,1251,643.0263871575522,451.5220432205084,66.84810018175071,230.756787104264,153.91715593449362,297.6048872860148,110.92475115844584,4.304580031141846
9,Illinois,Saint Clair,2009,13.53426637383172,268489,673.99,2318,1536,281,716,539,997,863.3500813813603,572.0904767048185,104.65978122008724,266.67759200563154,200.7531034790997,371.3373732257188,398.35754239677146,15.231610525957603
10,Pennsylvania,Allegheny,2009,11.882359010752666,1222171,744.73,13537,9126,1355,4531,3240,5886,1107.6191465842342,746.7040209594238,110.8682827525772,370.7337189313116,265.1020192755351,481.6020016838888,1641.0927450216857,18.09801051823557
11,Colorado,Adams,2009,14.230846937499981,435700,1197.83,2206,1301,297,508,496,805,506.31168235024097,298.59995409685564,68.1661693826027,116.59398668808812,113.8397980261648,184.76015607069084,363.7410984864296,19.957886164402552
12,New Hampshire,Hillsborough,2009,8.225157850467287,400148,892.28,2723,1807,290,812,705,1102,680.4982156602057,451.5829143217009,72.47318492157902,202.92491778042125,176.18481161970072,275.39810270200024,448.45564172681225,8.218003481733806
13,New York,Suffolk,2009,9.41907021603929,1487206,2373.39,11088,7990,939,4104,2947,5043,745.5591222735787,537.2490428360294,63.13852956483501,275.9537011012597,198.1568121699348,339.0922306660947,626.6167802173263,11.64931125156701
14,Kansas,Wyandotte,2009,12.271639795321677,156416,155.7,1140,715,110,317,288,427,728.8256955810147,457.11436170212767,70.32528641571194,202.6646890343699,184.12438625204584,272.98997545008183,1004.5985870263328,15.549282366084583
15,Virginia,Alexandria City,2009,13.09165886976742,137523,15.38,554,352,49,217,86,266,402.8417064781891,255.95718534354253,35.630403641572684,157.79178755553616,62.53499414643369,193.42219119710884,8941.677503250974,16.454520130206834
16,New York,Bronx,2009,21.83946431506846,1376261,57.42,9140,6473,804,3556,2113,4360,664.1182159488643,470.3322988880743,58.41915159987822,258.3812227477201,153.53192454047598,316.8003743475983,23968.321142459077,24.646228480550842
17,Indiana,Marion,2009,10.135623790960464,898394,403.11,7191,4789,846,2200,1743,3046,800.4283198685654,533.062331226611,94.16803763159594,244.88142173701075,194.0128718580044,339.0494593686066,2228.657190345067,12.243429342191698
