,State,County,year,avg(NO2 Mean),avg(O3 Mean),avg(SO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_tenyears,SO2_tenyears,O3_tenyears
10,California,Santa Barbara,2010,2.12437892102844,0.034079227731864246,0.6643941418732776,423895,3789.56,2709,1832,236,950,646,1186,639.0733554300003,432.1824980242749,55.67416459264676,224.11210323311195,152.39623019851615,279.7862678257587,111.8586326644782,4.513732888702149,0.4134155991304114,0.03324456980996466
11,Texas,Dallas,2010,13.10613771787717,0.024907092178771004,0.641640224860336,2368139,908.87,14039,8825,1241,4317,3267,5558,592.8283770505026,372.65549023938206,52.40401851411594,182.29504264741217,137.95642907785398,234.6990611615281,2605.586057411951,16.32713056168568,0.7066265082673213,0.02379450710152218
12,New Hampshire,Hillsborough,2010,7.668570667910461,0.029611966417910366,0.9733833320895546,400721,892.28,2618,1671,290,728,653,1018,653.3223863985166,416.99836045527934,72.36955387913287,181.6725352552025,162.956271320944,254.04208913433536,449.09781682879816,8.58410546156027,1.6711306801970371,0.027496135863978144
13,Arizona,Pima,2010,12.094548089912275,0.027772875000000072,0.45944379495613935,980263,9189.44,8114,5121,884,2318,1919,3202,827.7370460784504,522.4108224017432,90.17988029743036,236.46715218262847,195.7637899216843,326.6470324800589,106.67276787268864,15.156661027111081,1.0030796680064658,0.027229019604722005
14,Connecticut,Hartford,2010,7.849906907514456,0.029627063583815054,0.514184734104045,894014,750.61,7487,4977,669,2502,1806,3171,837.4589212249473,556.7026914567333,74.83104291431678,279.8613891952475,202.01025934716907,354.69243210956427,1191.0499460438843,7.925656360236499,0.7001406437751055,0.02823320330112722
15,Texas,Bexar,2010,6.402237328358234,0.024182131343283536,0.6014333880597025,1714773,1256.76,11106,6731,911,3377,2443,4288,647.6659009676499,392.53008998858735,53.126565440440224,196.93568769743865,142.46783685070852,250.06225313787888,1364.4395111238423,6.756740228635632,0.5567004811390162,0.024886054925092854
16,Pennsylvania,Washington,2010,8.988173144859818,0.027597542056074773,4.290840028037382,207820,861.0,2304,1464,219,696,549,915,1108.65171783274,704.4557790395535,105.37965547108077,334.90520642864016,264.17091713983257,440.28486189972097,241.3704994192799,11.146726987317976,6.25589754081146,0.02689404896598554
17,Kansas,Wyandotte,2010,13.066675312865529,0.021598385964912287,5.189308907894739,157505,155.7,1103,655,100,314,241,414,700.2952287228976,415.8598139741595,63.49004793498619,199.35875051585663,153.0110155233167,262.8487984508428,1011.592806679512,15.81119486089706,3.3731576743336107,0.02372968156268103
18,Pennsylvania,Bucks,2010,8.910391264423048,0.03181040384615384,0.7183714687500012,625249,622.15,5243,3447,506,1573,1368,2079,838.5459233041556,551.3003619358049,80.92775838106098,251.5797706193852,218.79283293535855,332.5075290004462,1004.9811138792896,13.051001162923592,4.0753285655931135,0.028718653845104573
19,California,Contra Costa,2010,7.608833458112407,0.02393280063626737,0.9850142958642647,1049025,802.18,6829,4589,666,2204,1719,2870,650.9854388598936,437.4538261719216,63.48752412954887,210.09985462691543,163.8664474154572,273.5873787564644,1307.717719215139,11.132765552545496,1.5259062836670085,0.02341403326331327
