,avg(NO2 Mean),avg(CO Mean),avg(O3 Mean),avg(SO2 Mean),population_density,num_factory,Autos,Trucks,Total Vehicles
47,16.398749791900034,0.3878260236966824,0.030364536837570257,0.3017277944851366,306.16157868290657,2754,1151450,351121,1711492
48,8.990090577142848,0.29803121571428526,0.024762211428571438,0.28624841000000034,1441.2715311605484,1528,801612,200603,1141979
49,10.987575689855085,0.23748306811594203,0.026524736231884068,0.27964797971014477,3221.7024823031725,9306,1948063,388252,2519955
50,10.065030991111156,0.2665801671111115,0.03308644800000012,0.7824040231111091,156.2833484826077,1178,437386,168205,717015
51,19.956466322450293,0.4138692908111742,0.022778006731740155,0.5349724826657671,2080.76813009225,25548,5805760,1086927,7360573
52,2.6198949710467683,0.35004169265033364,0.02211517594654787,0.41829736191536876,33.37256817979924,274,75058,39649,146764
53,14.325115763473098,0.8647242215568857,0.02635825449101793,0.4143639535928142,39.318129082925786,104,94778,39336,157322
54,8.515871270146537,0.32697564835164883,0.02278579945054955,1.5727975686813205,1329.035877234536,1100,682737,140422,913512
55,18.277943483284826,0.3374600995639552,0.028922936046511652,1.0335684000726724,102.60146152541556,3524,1074343,338309,1628577
56,15.737148682191744,0.37605338493150714,0.017591668493150688,1.0543877369863028,1865.4494313615664,3646,954158,177376,1225090
57,13.082048456221164,0.42149785115207283,0.027279101382488437,0.4955426147465439,693.9344928765864,5642,1932452,459383,2653878
58,9.142772303278694,0.37938815163934336,0.02346548633879785,0.6419857814207641,463.0104206869934,1305,253989,68276,367969
59,1.856471474121982,0.1637265813308699,0.03476100092421429,1.1304053137707895,113.63799491233812,2265,248404,75633,366657
60,13.98044998466259,0.46360721625766826,0.02724277914110434,0.46424191564417044,39.55462642344626,250,97561,40001,160200
61,9.54613346686749,0.16766968373493935,0.027915445783132528,0.07046924096385551,3254.4598115854883,23605,1982791,384954,2539664
62,1.668079993793631,0.2926706245151249,0.024838647013188612,-0.1407108700543057,33.22944735621292,670,74795,39887,144582
63,12.26515447761191,0.3764617164179096,0.03312310281923722,0.6447199278606975,157.33820325728786,2970,444768,168499,718882
64,8.08348778082195,0.3111526968036525,0.02525037716894981,0.9622410990867595,1344.139719265003,2720,697279,139494,919403
65,15.974102227757998,0.379968391459075,0.027492647686832836,0.210976398576513,310.10102946270507,7300,1184178,347862,1724787
66,21.169009149183935,0.53694595361305,0.021719016783216985,0.5202906629370633,2094.4622836846006,63830,5904847,1079883,7422254
67,17.870175726198678,0.25254961501042344,0.032934102849200717,0.7724560013898535,103.31277767913583,8995,1096412,332313,1629237
68,14.879765326760568,0.47500202535211317,0.019269512676056342,0.7067528267605617,1894.092004967976,9265,974615,175467,1238260
