State,County,year,Factors,value
California,San Bernardino,2015,population_density,105.5656932945198
California,Riverside,2015,population_density,322.1458389525467
California,Sacramento,2015,population_density,1503.1828453773917
California,Fresno,2015,population_density,161.54000820885724
California,Contra Costa,2015,population_density,1400.2231419382183
California,Santa Barbara,2015,population_density,117.11517959868692
California,Solano,2015,population_density,478.9336715002481
California,Humboldt,2015,population_density,33.40711458549249
California,Imperial,2015,population_density,40.11664227323028
California,Santa Clara,2016,population_density,1471.3360367335365
California,Alameda,2016,population_density,2006.3122519056085
California,San Bernardino,2016,population_density,106.43859986800216
California,Sacramento,2016,population_density,1521.0766835735449
California,Fresno,2016,population_density,162.83365099727644
California,Contra Costa,2016,population_density,1415.052731307188
California,Santa Barbara,2016,population_density,117.73662377690286
California,Solano,2016,population_density,485.42427082759
California,Humboldt,2016,population_density,33.71877251685371
California,Imperial,2016,population_density,40.35693249562703
California,Los Angeles,2010,avg(NO2 Mean),20.44729551851863
California,Orange,2010,avg(NO2 Mean),11.172932052197831
California,San Diego,2010,avg(NO2 Mean),17.280307051519124
California,Santa Clara,2010,avg(NO2 Mean),13.54535503086417
California,Alameda,2010,avg(NO2 Mean),13.107570373368189
California,San Bernardino,2010,avg(NO2 Mean),18.927191771165187
California,Riverside,2010,avg(NO2 Mean),16.920116675090206
California,Sacramento,2010,avg(NO2 Mean),8.378692592705146
California,Fresno,2010,avg(NO2 Mean),12.916266709677414
California,Contra Costa,2010,avg(NO2 Mean),7.608833458112407
California,Santa Barbara,2010,avg(NO2 Mean),2.12437892102844
California,Solano,2010,avg(NO2 Mean),9.26397542797206
California,Humboldt,2010,avg(NO2 Mean),2.6348533177441573
California,Imperial,2010,avg(NO2 Mean),13.87090537536654
California,Los Angeles,2011,avg(NO2 Mean),19.956466322450293
California,Orange,2011,avg(NO2 Mean),10.987575689855085
California,San Diego,2011,avg(NO2 Mean),13.082048456221164
California,Santa Clara,2011,avg(NO2 Mean),12.036352558823568
California,Alameda,2011,avg(NO2 Mean),15.737148682191744
California,San Bernardino,2011,avg(NO2 Mean),18.277943483284822
California,Riverside,2011,avg(NO2 Mean),16.398749791900034
California,Sacramento,2011,avg(NO2 Mean),8.990090577142848
California,Fresno,2011,avg(NO2 Mean),10.065030991111156
California,Contra Costa,2011,avg(NO2 Mean),8.515871270146537
California,Santa Barbara,2011,avg(NO2 Mean),2.3397625274929816
California,Solano,2011,avg(NO2 Mean),10.211051473972608
